BTDate,Version,Pairs,StartDate,EndDate,BarFreq,BarCount,DayCount,Sharpe,CAGR,CumRet,MaxDD,DDDur,StrategyParams
2015-10-18 22:21,v1.1-66-g22509ec,BTI_PM,2009-01-01,2014-12-31,1M,584964,1505,1.40,21.27,216.42,11.66,137,"StatArbParams(lookbackWindow=20, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=600, earningsCeaseFire=(-5, 5))"
2015-10-18 22:22,v1.1-66-g22509ec,BTI_PM,2009-01-01,2014-12-31,1M,584964,1505,1.40,21.21,215.38,11.66,137,"StatArbParams(lookbackWindow=20, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=600, earningsCeaseFire=(-4, 4))"
2015-10-18 22:22,v1.1-66-g22509ec,BTI_PM,2009-01-01,2014-12-31,1M,584964,1505,1.43,21.60,221.48,11.66,137,"StatArbParams(lookbackWindow=20, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=600, earningsCeaseFire=(-3, 3))"
2015-10-18 22:22,v1.1-66-g22509ec,BTI_PM,2009-01-01,2014-12-31,1M,584964,1505,1.40,21.28,216.52,11.66,137,"StatArbParams(lookbackWindow=20, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=600, earningsCeaseFire=(-2, 2))"
2015-10-18 22:23,v1.1-66-g22509ec,BTI_PM,2009-01-01,2014-12-31,1M,584964,1505,1.39,21.16,214.69,11.66,137,"StatArbParams(lookbackWindow=20, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=600, earningsCeaseFire=(-1, 1))"
2015-10-18 22:23,v1.1-66-g22509ec,BTI_PM,2009-01-01,2014-12-31,1M,584964,1505,1.38,21.13,214.23,11.66,137,"StatArbParams(lookbackWindow=20, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=600, earningsCeaseFire=(0, 0))"
2015-10-18 22:23,v1.1-66-g22509ec,BTI_PM,2009-01-01,2014-12-31,1M,584964,1505,1.39,21.16,214.69,11.66,137,"StatArbParams(lookbackWindow=20, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=600, earningsCeaseFire=(-1, 1))"
2015-10-18 22:24,v1.1-66-g22509ec,BTI_PM,2009-01-01,2014-12-31,1M,584964,1505,1.39,21.17,214.79,11.66,137,"StatArbParams(lookbackWindow=20, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=600, earningsCeaseFire=(-1, 2))"
2015-10-18 22:24,v1.1-66-g22509ec,BTI_PM,2009-01-01,2014-12-31,1M,584964,1505,1.40,21.31,217.04,11.66,137,"StatArbParams(lookbackWindow=20, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=600, earningsCeaseFire=(-1, 3))"
2015-10-18 22:24,v1.1-66-g22509ec,BTI_PM,2009-01-01,2014-12-31,1M,584964,1505,1.40,21.31,217.04,11.66,137,"StatArbParams(lookbackWindow=20, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=600, earningsCeaseFire=(-1, 4))"
2015-10-18 22:25,v1.1-66-g22509ec,BTI_PM,2009-01-01,2014-12-31,1M,584964,1505,1.43,21.64,222.12,11.66,137,"StatArbParams(lookbackWindow=20, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=600, earningsCeaseFire=(-1, 5))"
2015-10-18 22:25,v1.1-66-g22509ec,BTI_PM,2009-01-01,2014-12-31,1M,584964,1505,1.38,21.13,214.23,11.66,137,"StatArbParams(lookbackWindow=20, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=600, earningsCeaseFire=(0, 1))"
2015-10-18 22:25,v1.1-66-g22509ec,BTI_PM,2009-01-01,2014-12-31,1M,584964,1505,1.39,21.15,214.58,11.66,137,"StatArbParams(lookbackWindow=20, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=600, earningsCeaseFire=(0, 2))"
2015-10-18 22:26,v1.1-66-g22509ec,BTI_PM,2009-01-01,2014-12-31,1M,584964,1505,1.40,21.25,216.00,11.66,137,"StatArbParams(lookbackWindow=20, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=600, earningsCeaseFire=(0, 3))"
2015-10-18 22:26,v1.1-66-g22509ec,BTI_PM,2009-01-01,2014-12-31,1M,584964,1505,1.40,21.25,216.00,11.66,137,"StatArbParams(lookbackWindow=20, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=600, earningsCeaseFire=(0, 4))"
2015-10-18 22:26,v1.1-66-g22509ec,BTI_PM,2009-01-01,2014-12-31,1M,584964,1505,1.40,21.25,216.00,11.66,137,"StatArbParams(lookbackWindow=20, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=600, earningsCeaseFire=(0, 5))"
